feature1;feature2;correlation;strength
kills;deaths;0.4765091819;average
kills;assists;0.8405624817;high
deaths;assists;0.4891760806;average
kills;teamkills;0.4280903019;average
deaths;teamkills;-0.0928291267;low
assists;teamkills;0.4423164613;average
kills;teamdeaths;-0.0884100841;low
deaths;teamdeaths;0.4494877396;average
assists;teamdeaths;-0.1077216074;low
teamkills;teamdeaths;-0.2065220439;low
kills;doublekills;0.8015748079;high
deaths;doublekills;0.2534273549;low
assists;doublekills;0.6411644652;average
teamkills;doublekills;0.3878208587;average
teamdeaths;doublekills;-0.1310350966;low
kills;triplekills;0.4918675786;average
deaths;triplekills;0.1137794885;low
assists;triplekills;0.3754005216;average
teamkills;triplekills;0.2437348893;low
teamdeaths;triplekills;-0.0960760851;low
doublekills;triplekills;0.5587303008;average
kills;quadrakills;0.2435790458;low
deaths;quadrakills;0.0510627919;low
assists;quadrakills;0.1755867206;low
teamkills;quadrakills;0.1205539923;low
teamdeaths;quadrakills;-0.0418517081;low
doublekills;quadrakills;0.2557468349;low
triplekills;quadrakills;0.4733979342;average
kills;pentakills;0.1197485072;low
deaths;pentakills;0.0175437313;low
assists;pentakills;0.0851231464;low
teamkills;pentakills;0.0574871830;low
teamdeaths;pentakills;-0.0281679009;low
doublekills;pentakills;0.1209781509;low
triplekills;pentakills;0.2287529840;low
quadrakills;pentakills;0.4841912503;average
kills;firstblood;0.2641627937;low
deaths;firstblood;0.0905249503;low
assists;firstblood;0.2684526695;low
teamkills;firstblood;0.1429446716;low
teamdeaths;firstblood;-0.1507042885;low
doublekills;firstblood;0.1670941251;low
triplekills;firstblood;0.0897013237;low
quadrakills;firstblood;0.0413331711;low
pentakills;firstblood;0.0206184840;low
kills;firstbloodkill;0.2204787246;low
deaths;firstbloodkill;-0.0511117879;low
assists;firstbloodkill;0.0078020815;low
teamkills;firstbloodkill;0.0775431433;low
teamdeaths;firstbloodkill;-0.0771576983;low
doublekills;firstbloodkill;0.0986244479;low
triplekills;firstbloodkill;0.0455658148;low
quadrakills;firstbloodkill;0.0227210246;low
pentakills;firstbloodkill;0.0133907920;low
firstblood;firstbloodkill;0.5917322731;average
kills;firstbloodassist;-0.0518600254;low
deaths;firstbloodassist;-0.0485450938;low
assists;firstbloodassist;0.2125212137;low
teamkills;firstbloodassist;0.0878056724;low
teamdeaths;firstbloodassist;-0.0965951302;low
doublekills;firstbloodassist;-0.0349044136;low
triplekills;firstbloodassist;-0.0213304535;low
quadrakills;firstbloodassist;-0.0090752405;low
pentakills;firstbloodassist;-0.0087004096;low
firstblood;firstbloodassist;0.7188807586;average
firstbloodkill;firstbloodassist;-0.1349861136;low
