league;split;criterion;max_depth;min_samples_split;testAccuracy2024
LCK;Spring;gini;5;2;81.97
LCK;Spring;gini;5;10;81.97
LCK;Spring;gini;5;15;82.19
LCK;Spring;gini;10;2;82.19
LCK;Spring;gini;10;10;81.76
LCK;Spring;gini;10;15;82.4
LCK;Spring;gini;20;2;82.4
LCK;Spring;gini;20;10;81.55
LCK;Spring;gini;20;15;82.4
LCK;Spring;gini;30;2;82.4
LCK;Spring;gini;30;10;81.55
LCK;Spring;gini;30;15;82.4
LCK;Spring;entropy;5;2;81.55
LCK;Spring;entropy;5;10;82.19
LCK;Spring;entropy;5;15;82.19
LCK;Spring;entropy;10;2;82.19
LCK;Spring;entropy;10;10;81.55
LCK;Spring;entropy;10;15;82.62
LCK;Spring;entropy;20;2;81.76
LCK;Spring;entropy;20;10;81.55
LCK;Spring;entropy;20;15;82.62
LCK;Spring;entropy;30;2;81.76
LCK;Spring;entropy;30;10;81.55
LCK;Spring;entropy;30;15;82.62
LCK;Summer;gini;5;2;81.32
LCK;Summer;gini;5;10;81.32
LCK;Summer;gini;5;15;81.32
LCK;Summer;gini;10;2;82.8
LCK;Summer;gini;10;10;81.53
LCK;Summer;gini;10;15;81.32
LCK;Summer;gini;20;2;83.23
LCK;Summer;gini;20;10;81.74
LCK;Summer;gini;20;15;81.32
LCK;Summer;gini;30;2;83.23
LCK;Summer;gini;30;10;81.74
LCK;Summer;gini;30;15;81.32
LCK;Summer;entropy;5;2;81.1
LCK;Summer;entropy;5;10;81.1
LCK;Summer;entropy;5;15;81.32
LCK;Summer;entropy;10;2;82.8
LCK;Summer;entropy;10;10;81.74
LCK;Summer;entropy;10;15;81.32
LCK;Summer;entropy;20;2;83.23
LCK;Summer;entropy;20;10;82.17
LCK;Summer;entropy;20;15;81.53
LCK;Summer;entropy;30;2;83.23
LCK;Summer;entropy;30;10;82.17
LCK;Summer;entropy;30;15;81.53
LCS;Spring;gini;5;2;78.33
LCS;Spring;gini;5;10;79.17
LCS;Spring;gini;5;15;77.92
LCS;Spring;gini;10;2;79.58
LCS;Spring;gini;10;10;78.75
LCS;Spring;gini;10;15;78.75
LCS;Spring;gini;20;2;79.17
LCS;Spring;gini;20;10;78.75
LCS;Spring;gini;20;15;79.17
LCS;Spring;gini;30;2;79.17
LCS;Spring;gini;30;10;78.75
LCS;Spring;gini;30;15;79.17
LCS;Spring;entropy;5;2;81.25
LCS;Spring;entropy;5;10;78.33
LCS;Spring;entropy;5;15;79.17
LCS;Spring;entropy;10;2;78.75
LCS;Spring;entropy;10;10;79.17
LCS;Spring;entropy;10;15;79.58
LCS;Spring;entropy;20;2;78.75
LCS;Spring;entropy;20;10;79.17
LCS;Spring;entropy;20;15;79.58
LCS;Spring;entropy;30;2;78.75
LCS;Spring;entropy;30;10;79.17
LCS;Spring;entropy;30;15;79.58
LCS;Summer;gini;5;2;79.29
LCS;Summer;gini;5;10;79.29
LCS;Summer;gini;5;15;77.86
LCS;Summer;gini;10;2;78.21
LCS;Summer;gini;10;10;78.93
LCS;Summer;gini;10;15;79.64
LCS;Summer;gini;20;2;78.21
LCS;Summer;gini;20;10;78.93
LCS;Summer;gini;20;15;79.64
LCS;Summer;gini;30;2;78.21
LCS;Summer;gini;30;10;78.93
LCS;Summer;gini;30;15;79.64
LCS;Summer;entropy;5;2;77.5
LCS;Summer;entropy;5;10;78.93
LCS;Summer;entropy;5;15;78.21
LCS;Summer;entropy;10;2;78.57
LCS;Summer;entropy;10;10;78.93
LCS;Summer;entropy;10;15;78.57
LCS;Summer;entropy;20;2;78.93
LCS;Summer;entropy;20;10;78.57
LCS;Summer;entropy;20;15;78.57
LCS;Summer;entropy;30;2;78.93
LCS;Summer;entropy;30;10;78.57
LCS;Summer;entropy;30;15;78.57
LEC;Spring;gini;5;2;85.0
LEC;Spring;gini;5;10;84.5
LEC;Spring;gini;5;15;85.5
LEC;Spring;gini;10;2;86.0
LEC;Spring;gini;10;10;86.5
LEC;Spring;gini;10;15;85.0
LEC;Spring;gini;20;2;86.0
LEC;Spring;gini;20;10;86.5
LEC;Spring;gini;20;15;85.0
LEC;Spring;gini;30;2;86.0
LEC;Spring;gini;30;10;86.5
LEC;Spring;gini;30;15;85.0
LEC;Spring;entropy;5;2;85.0
LEC;Spring;entropy;5;10;86.0
LEC;Spring;entropy;5;15;85.5
LEC;Spring;entropy;10;2;86.5
LEC;Spring;entropy;10;10;86.5
LEC;Spring;entropy;10;15;86.0
LEC;Spring;entropy;20;2;86.5
LEC;Spring;entropy;20;10;86.5
LEC;Spring;entropy;20;15;86.0
LEC;Spring;entropy;30;2;86.5
LEC;Spring;entropy;30;10;86.5
LEC;Spring;entropy;30;15;86.0
LEC;Summer;gini;5;2;76.0
LEC;Summer;gini;5;10;75.5
LEC;Summer;gini;5;15;75.0
LEC;Summer;gini;10;2;76.5
LEC;Summer;gini;10;10;75.5
LEC;Summer;gini;10;15;74.5
LEC;Summer;gini;20;2;78.5
LEC;Summer;gini;20;10;75.5
LEC;Summer;gini;20;15;74.5
LEC;Summer;gini;30;2;78.5
LEC;Summer;gini;30;10;75.5
LEC;Summer;gini;30;15;74.5
LEC;Summer;entropy;5;2;76.5
LEC;Summer;entropy;5;10;76.0
LEC;Summer;entropy;5;15;75.5
LEC;Summer;entropy;10;2;76.5
LEC;Summer;entropy;10;10;76.0
LEC;Summer;entropy;10;15;74.0
LEC;Summer;entropy;20;2;76.0
LEC;Summer;entropy;20;10;76.0
LEC;Summer;entropy;20;15;74.0
LEC;Summer;entropy;30;2;76.0
LEC;Summer;entropy;30;10;76.0
LEC;Summer;entropy;30;15;74.0
LEC;Winter;gini;5;2;73.5
LEC;Winter;gini;5;10;73.5
LEC;Winter;gini;5;15;75.0
LEC;Winter;gini;10;2;70.5
LEC;Winter;gini;10;10;74.5
LEC;Winter;gini;10;15;74.5
LEC;Winter;gini;20;2;71.5
LEC;Winter;gini;20;10;73.5
LEC;Winter;gini;20;15;74.5
LEC;Winter;gini;30;2;71.5
LEC;Winter;gini;30;10;73.5
LEC;Winter;gini;30;15;74.5
LEC;Winter;entropy;5;2;75.0
LEC;Winter;entropy;5;10;75.0
LEC;Winter;entropy;5;15;75.0
LEC;Winter;entropy;10;2;74.0
LEC;Winter;entropy;10;10;75.0
LEC;Winter;entropy;10;15;75.0
LEC;Winter;entropy;20;2;76.5
LEC;Winter;entropy;20;10;76.0
LEC;Winter;entropy;20;15;75.0
LEC;Winter;entropy;30;2;76.5
LEC;Winter;entropy;30;10;76.0
LEC;Winter;entropy;30;15;75.0
