league;split;criterion;max_depth;min_samples_split;testAccuracy2024
LCK;Spring;gini;5;2;82.83
LCK;Spring;gini;5;10;83.05
LCK;Spring;gini;5;15;82.19
LCK;Spring;gini;10;2;82.19
LCK;Spring;gini;10;10;84.12
LCK;Spring;gini;10;15;83.05
LCK;Spring;gini;20;2;82.83
LCK;Spring;gini;20;10;84.12
LCK;Spring;gini;20;15;83.05
LCK;Spring;gini;30;2;82.83
LCK;Spring;gini;30;10;84.12
LCK;Spring;gini;30;15;83.05
LCK;Spring;entropy;5;2;82.83
LCK;Spring;entropy;5;10;82.83
LCK;Spring;entropy;5;15;83.05
LCK;Spring;entropy;10;2;82.83
LCK;Spring;entropy;10;10;85.19
LCK;Spring;entropy;10;15;83.91
LCK;Spring;entropy;20;2;83.05
LCK;Spring;entropy;20;10;84.76
LCK;Spring;entropy;20;15;83.91
LCK;Spring;entropy;30;2;83.05
LCK;Spring;entropy;30;10;84.76
LCK;Spring;entropy;30;15;83.91
LCK;Summer;gini;5;2;83.44
LCK;Summer;gini;5;10;83.01
LCK;Summer;gini;5;15;83.44
LCK;Summer;gini;10;2;84.08
LCK;Summer;gini;10;10;84.29
LCK;Summer;gini;10;15;83.44
LCK;Summer;gini;20;2;83.86
LCK;Summer;gini;20;10;84.29
LCK;Summer;gini;20;15;83.44
LCK;Summer;gini;30;2;83.86
LCK;Summer;gini;30;10;84.29
LCK;Summer;gini;30;15;83.44
LCK;Summer;entropy;5;2;83.23
LCK;Summer;entropy;5;10;83.23
LCK;Summer;entropy;5;15;82.38
LCK;Summer;entropy;10;2;84.5
LCK;Summer;entropy;10;10;83.65
LCK;Summer;entropy;10;15;83.23
LCK;Summer;entropy;20;2;84.5
LCK;Summer;entropy;20;10;83.86
LCK;Summer;entropy;20;15;83.23
LCK;Summer;entropy;30;2;84.5
LCK;Summer;entropy;30;10;83.86
LCK;Summer;entropy;30;15;83.23
LCS;Spring;gini;5;2;79.58
LCS;Spring;gini;5;10;78.33
LCS;Spring;gini;5;15;79.17
LCS;Spring;gini;10;2;74.58
LCS;Spring;gini;10;10;77.5
LCS;Spring;gini;10;15;79.17
LCS;Spring;gini;20;2;75.42
LCS;Spring;gini;20;10;77.92
LCS;Spring;gini;20;15;79.17
LCS;Spring;gini;30;2;75.42
LCS;Spring;gini;30;10;77.92
LCS;Spring;gini;30;15;79.17
LCS;Spring;entropy;5;2;79.17
LCS;Spring;entropy;5;10;77.92
LCS;Spring;entropy;5;15;78.33
LCS;Spring;entropy;10;2;75.42
LCS;Spring;entropy;10;10;78.33
LCS;Spring;entropy;10;15;78.75
LCS;Spring;entropy;20;2;76.25
LCS;Spring;entropy;20;10;78.33
LCS;Spring;entropy;20;15;78.75
LCS;Spring;entropy;30;2;76.25
LCS;Spring;entropy;30;10;78.33
LCS;Spring;entropy;30;15;78.75
LCS;Summer;gini;5;2;78.21
LCS;Summer;gini;5;10;78.21
LCS;Summer;gini;5;15;77.86
LCS;Summer;gini;10;2;78.57
LCS;Summer;gini;10;10;77.86
